Date,Category,Amount,Note
16/09/2025,Transport,200,NEW YORK
16/09/2025,Bills,293,power bill
16/09/2025,Entertainment,45,Movie
16/09/2025,Food,900,mandi
16/09/2025,Shopping,96,shirt
16/09/2025,Food,52,Biryani
23/09/2025,Food,5,Naan
22/09/2025,Shopping,89,jeans
18/09/2025,Food,120,grocery
18/09/2025,Transport,50,metro card
18/09/2025,Bills,150,water bill
18/09/2025,Other,75,stationery
19/09/2025,Food,60,lunch outside
19/09/2025,Entertainment,120,concert ticket
19/09/2025,Shopping,200,shoes
19/09/2025,Transport,35,bus fare
20/09/2025,Food,45,breakfast
20/09/2025,Bills,320,internet recharge
20/09/2025,Shopping,400,jacket
20/09/2025,Other,60,gym fee
21/09/2025,Food,25,snacks
21/09/2025,Transport,180,taxi
21/09/2025,Entertainment,200,movie night
21/09/2025,Food,70,dinner
22/09/2025,Bills,310,phone bill
22/09/2025,Food,90,pizza
22/09/2025,Other,40,coffee shop
23/09/2025,Shopping,150,earphones
03/09/2025,Transport,20,taxi share
03/09/2025,Bills,150,water bill
03/09/2025,Food,75,lunch
04/09/2025,Food,55,breakfast
04/09/2025,Shopping,250,casual shirt
04/09/2025,Other,30,printer paper
04/09/2025,Entertainment,60,game download
05/09/2025,Food,95,dinner outside
05/09/2025,Transport,180,intercity bus
05/09/2025,Bills,310,internet recharge
06/09/2025,Food,150,weekly groceries
06/09/2025,Shopping,220,jacket
06/09/2025,Other,45,gym fee
06/09/2025,Entertainment,75,live music
07/09/2025,Food,40,breakfast
07/09/2025,Transport,70,metro card
07/09/2025,Bills,305,phone bill
07/09/2025,Food,55,dinner
08/09/2025,Food,65,snacks
08/09/2025,Shopping,420,headphones
08/09/2025,Entertainment,50,arcade
09/09/2025,Food,120,lunch buffet
09/09/2025,Transport,40,bus fare
09/09/2025,Other,85,books
10/09/2025,Food,60,street food
10/09/2025,Bills,280,gas bill
10/09/2025,Shopping,350,backpack
10/09/2025,Entertainment,200,concert ticket
11/09/2025,Food,110,grocery shopping
11/09/2025,Transport,35,taxi
11/09/2025,Other,20,stationery
01/09/2025,Food,65,breakfast with friends
01/09/2025,Transport,45,bus pass
01/09/2025,Bills,280,electricity bill
01/09/2025,Other,50,notebooks
02/09/2025,Food,120,grocery shopping
02/09/2025,Shopping,300,work shoes
02/09/2025,Entertainment,90,cinema
22/09/2025,Shopping,15,shocks
24/09/2025,Food,67,biryani
25/09/2025,Transport,20,ride
29/08/2025,Food,89,juice
25/09/2025,Transport,220,Newyork
25/09/2025,Food,3,Roti
25/09/2025,Food,441,FRUITS
25/09/2025,Food,50,BIRYANI
